category,rating,label,text_
Clothing_Shoes_and_Jewelry_5,2.0,OR,the fit was stiff and uncomfortable. I also didn't expect the top of the boot to be so wide and gap. I ended up returning them.
Toys_and_Games_5,3.0,OR,Served their purpose. Not the best quality and felt cheap. But my kids enjoyed them.
Books_5,5.0,CG,"I loved this book. I have read all the other books in the series, and this one is a keeper. The story is well told, the characters are interesting, and the story is well told. I would highly recommend this book. I really enjoyed this book. I love a good mystery with a good twist. I have read all of the other books in the series. This one is a little different and I am not sure why I didn't give it a five star rating. I would have liked it a little better. I just didn't get it. It is definitely a book I will read again."
Sports_and_Outdoors_5,5.0,CG,This is my third pair.  I wear the knee pads for a lot of work and this one is a little too tight.  The sleeves are too tight and the inside of the pants is too tight.  It's a little difficult to get them in and out of the way.  I'm a big guy and I'm very satisfied with the quality of these pads.I love this gun. It works well and seems to last for years. I have a Beretta 1270 and it is very light weight. The sights are very well made and easy to sight in. This gun is super light and easy to carry. The gun fits nicely in my pack and holds a lot of ammo. I would definitely recommend this gun to anyone.Very good product. Very good quality.Great quality. Love it!Easy to install. I have no problems with this. I have had this on my Trek Trek
Kindle_Store_5,2.0,CG,This one just didn't hit the mark. It just wasn't as good as the first one. I had a lot of fun with this one. It was very entertaining and it was well written. I'm looking forward to reading the next one. The author does a great job with the descriptions of the animals and the locations. It is a well written book. I would recommend it to anyone who loves to read about animals and a good way to have fun. I really enjoyed reading this book.
Home_and_Kitchen_5,4.0,OR,"It is pretty much what I expected, like anything new I am getting used to it.  Is is pretty easy to set up and I believe it will meet my expectations. The size of display is just fine, and I appreciate the moon phases, have not seen this before."
Home_and_Kitchen_5,5.0,OR,"If you own other Shun's you know this is going to an awesome product.  I have a fairly heavy cleaver that I use mainly for breaking through bones and connecting joints, but this beauty takes all the work out of slicing through whole celery bunches to evenly julienning ginger.  Definitely a must use tool in my knife arsenal"
Home_and_Kitchen_5,5.0,CG,These smell great! I'm pretty happy with the quality and quality of this product!This is a
Electronics_5,5.0,OR,"THIS IS A GOOD REVIEW (all negativity ends to be a positive ending), I give it 5 stars!

I had a MAJOR lightning storm that killed about 5 of my electronics, including my desktops network card, which is built into the motherboard. When I found out it wasn't working, I went searching on Amazon for a new one (since Amazons merchandise is always on sale, or just plain cheap, money wise) and found this. I kept a tab on this open and looked at other, but my decision came back to this because of how cheap it was, and the good reviews, AND a similar story to mine someone else said (lightning storm, built into modem, etc. ) When I purchased it, I completely forgot about it until it arrived today. I soon hooked it up, excited and all. As soon as I power it on, I got that Limited but No Connectivity. I went through EVERYTHING trying to fix it, over an hour and a half. Nothing. I went out and came back and still nothing. So I looked up online problems that could relate to this. After about 3 websites, I came across a forum comment saying to download a tool called WinsockXPFix, after opening this small app and 'Fix'ing it, it worked. And now I'm sooooo happy, enough to get back on here, and write a review. I also found that little app just replaces missing files old programs I uninstalled, took with them. I wrote about this program for others who have any network problems relating to this Limited but No Connectivity issue."
Tools_and_Home_Improvement_5,1.0,CG,Did not work well at all. The only reason I did not rate this is because I just wanted a
Clothing_Shoes_and_Jewelry_5,5.0,CG,"I bought this bangle for my wife and she loves it.  She also loves the way the front is so adjustable.  I am a 32D, and the 36D is a little big.  It is a good size, and it fits well.  I ordered a half size up"
Clothing_Shoes_and_Jewelry_5,4.0,OR,"I'm 6'3"" 185lbs and size Large fits great.
Nice weight, perfect for SCUBA in Mexico/Caribbean."
Kindle_Store_5,5.0,OR,"Awesome turkish cookbook!! It's full of delicious turkish recipes! This book has tons of recipes for every type of meal breakfast, lunch, dinner, snacks, and even dessert that are really easy and quick to make.
If you are looking for a new book of ethnic recipes, this book is for you!"
Clothing_Shoes_and_Jewelry_5,5.0,OR,"THIS DRESS IS PERFECT. NO NEED TO ORDER A SIZE UP, ITS STRETCHY. I HAD IT SHORTENED JUST A LITTLE."
Books_5,5.0,OR,"Michael Morpurgo did a wonderful job of portraying WW I through the horse's eyes, giving us, once again the view of the war from both the eyes of all affected by the War. Loved all the language and the landscapes, and I totally bought into the people surrounding this wonderful horse. My one very small issue came at the end, where the author seemed to be compressing rather than extending the tail (no pun intended!) of the story. I do know that you don't want to overstay a solution, but racing makes for a predictably succinct summary, rather than a full bodied landing. Love Michael Morpurgo's writing, and have always enjoyed watching kids work their way through with a real spirit of curiosity."
Pet_Supplies_5,3.0,OR,"I sue these dogs beds as a liner for my dog's cots.  This is what I was looking for to place on top of the dog cots so they are not laying on the rougher mesh surface of the cot.  They fit the large cots well.  They are a too thin to use alone as a dog bed.  They fit well in a large wire kennel but they are still a little to thin for comfort for my older dogs.  I have not washed them but I tumble them in the dryer to freshen, fluff and remove dog hair."
Books_5,5.0,CG,"I don't remember how I got into the story, but I did find that it was a pretty good story. I had a lot of fun with the characters and the plots. I enjoyed that it was a little darker in places, but it was still a very good story.

I received a free copy of this book from"
Tools_and_Home_Improvement_5,4.0,OR,"This is a very preliminary review. I'm a little miffed that I'm even writing it. Nest/Google survey ""encouraged"" me to come here and do it even though my protects have only been installed for about 2 days. I normally would just ignore their desires and do this on my own time but it's annoying enough to share with you. First, nothing ever gets a 5 star review from me without reason. I start at the middle of the road (3 stars in this case) and find reasons to add or subtract from there. So, -1 for annoying marketing department causing me to review this but I kind of understand why... The previous gen 1 protects were a flop from what I've researched. Add 1 point for others reviews saying that these things actually do what they say they are going to do without false alarms. That leaves us at 3/5. Add 1 point for combining multiple smoke and co detection methods. Add another for creating a ""mesh"" network of interconnected detectors that can calmly and efficiently inform me of situations. Subtract a giant 1 point (hard time limiting this to only 1 star) for NOT integrating with other wired detectors. The orange/red wire exists for a reason and that's to kick off alerts in other areas!! I will buy more of these units until all in my home are replaced. 4 so far but have a half dozen or so to go in the next weeks/months assuming I don't find issues. Love the nightlight, btw."
Kindle_Store_5,4.0,OR,it was a very good story on self growth. how we can change ourselves by one thought or action.
Books_5,5.0,CG,"This book hit me right away. The characters were believable and the plot was well thought out. The story was told in a calm, solid voice and the writing was solid. I enjoyed this book and would recommend it highly. I would recommend it for anyone who"
Toys_and_Games_5,4.0,OR,"If you can believe it, Spirograph actually works better now than the old version from decades ago when I was a kid. Great price, the kids love it."
Books_5,5.0,CG,"This book leaves me with a feeling of being lost in the world.

The premise of the story is simple enough: the story takes place in the beginning of the decade, and the characters are well developed.  The main character, a young American boy named Nicholas, is not the typical kid.  Instead, he is a young man who is raised by a strong family.  He is a very special person, and it is his family that makes him special.  The main character, Dr. Michael, is a scientist, and he is also a strong character.  When he learns of the death of his"
Pet_Supplies_5,4.0,OR,"This is a very dense bone that is 5.5 inches long by about 2 inches wide.  My 80 lb greyhound loves it.  It's almost too big for him.  I do think it cleans his teeth because he has to work so hard gnawing at it to get even the tiniest chunk to come off the end.  He only gets through about half of this bone before he's full and tired.  Then I remove it and save it for the next day.  The 4 stars are because it's messy.  It leaves orangish debris on his bed that is sticky and gross, in my opinion, not his :-)  He'd give it a 10."
Electronics_5,5.0,CG,"Good to have a couple of these, as well. I will keep my batteries in order and use"
Tools_and_Home_Improvement_5,5.0,CG,"I do not think you can say the quality of these is better than the ones I have used.I bought this to replace the Schlage 32-60-8 bulb that I replaced with this one.  It works great, and the size is perfect.  I used it for the kitchen and kitchen tables.  I did not want the old bulb on the kitchen table, so I bought this for"
Electronics_5,5.0,CG,"Used these in Portugal to use with my cell phone. I also used them for the iPad Air. I bought this for a friend, and he is very happy with the purchase."
Tools_and_Home_Improvement_5,5.0,CG,"Great filters, the value pack, and the quality of these filters.  These filters are a bargain.I bought this to replace the Schlage 32-60-8"
Kindle_Store_5,5.0,CG,A fun quick read that will leave you with a smile on your face!This was a great read.
Kindle_Store_5,5.0,OR,"Sweet Love Story!

I enjoyed this story although it was too short.  The author drew the reader in and allowed us to experience the emotions of her characters.  The story was just a clean sweet romance story."
Home_and_Kitchen_5,3.0,OR,"I thought this was pretty great when I got it. But I have reconsidered. Stick blender cracked shortly after I got it, although it still worked. It has a (horrendous - for me) protective cover over the blades which is often in the way. The stick part really needs to be put in the dishwasher to clean it. I think that the problem is that it does too many things, and lacks the simplicity of a standard sort of stick blender. Also, the 'stick' attaches awkwardly to the motor. Mine just broke. The old standard one which I gave away worked forever.

OTOH, it is powerful, and if you don't mind the hooded blades might be just the thing."
Electronics_5,5.0,OR,"I've had many screen protectors for my various MP3 players and cell phones which gives me lots of basis for comparison.  I feel that this 3M protector is as good as any I've tried, it fits the iPad well.  I personally received two of them, which is good because it usually takes me two tries to get a protector on there perfectly.  The instructions were very specific and clear -- better than other products I've tried.  Overall, I recommend this for use with your iPad!"
Tools_and_Home_Improvement_5,4.0,OR,"I was surprised at how small this ballast is compared to the old ballast. It has a larger amperage rating than the old ballast and the mounting was a bit difficult because you have to drill another hole. It is a few inches shorter than the old models. I tried it and it worked just fine in a very, very, old fixture."
Kindle_Store_5,4.0,OR,"Excellent book! Being a parent is never an easy job, it comes with great responsibility on how we are going to deal with it. This book gives you insights and advises on how to face the challenges of being a parent and on how you are going to deal with your kid's personalities and characters in the right manner for them to become responsible of their own actions. Communication is a lot needed to understand each other, too, it is a give and take relationship. We should learn to listen and connect with them and even become a child if needed, that way we will be able to understand them. Be fun and creative! I highly recommend this book!"
Electronics_5,5.0,OR,Great product. Price exceptional. Don't wait...buy the thing now. You will not be disappointed.
Sports_and_Outdoors_5,2.0,OR,"Love the M9, but cheap plastic and broke off easily for the use of 1 hour. Still have the magazine for the remembrance of my M9."
Pet_Supplies_5,3.0,CG,"I did a lot of research on the quality of these treats and they are just the right size.I bought this for my dog, and it is the best product I have found for him. It is his favorite toy. I am very pleased."
Toys_and_Games_5,5.0,OR,"I just received these in today and they are going to be a Christmas present for my little boy who loves trains. I opened the box to check them out and they seem to be the same quality as any other wooden train track brand. For 100 pieces you really can't beat the price.

***UPDATE***

We've had these over a year now and they are still holding up well. In fact we've had some of the expensive Thomas brand tracks break but these are still going strong :-)"
Pet_Supplies_5,5.0,OR,Among my favorites. Cats seem to like it as well.
Electronics_5,5.0,OR,Bought this to replace the Canon OEM cap when I lose it...it's just a matter of when. Pinch mechanism works well and fits just as well as original. Bought this for a Canon 18-135mm STM lens and would certainly recommend.
Home_and_Kitchen_5,5.0,OR,"nice looking, but it doesnt look like stainless.  It works great tho, quiet and efficient."
Movies_and_TV_5,3.0,CG,"Dances With Wolves is a good movie, with lots of action and lots of beautiful scenery.  The story is not very well developed, but the acting is good, and the soundtrack is nice.  A little disappointing in some parts, but it's a very good movie.Great Movie!  Highly recommend it!One of"
Clothing_Shoes_and_Jewelry_5,4.0,CG,"Received this bag 5/10/2018.  It has the wide width and is a nice bag for the price.  It is not the best bag, but it is the most versatile.  I would definitely recommend it.  It will be a great addition to my collection.I like the shape"
Movies_and_TV_5,4.0,CG,"This was one of the better ones I've seen in a long time, and I'm glad to have seen it. The movie is a bit long, but it's a very entertaining movie. I had no idea that this film would be so well written and acted. The acting is great."
Toys_and_Games_5,5.0,OR,Very nice little play set ...granddaughter 5 yrs. very happy..
Movies_and_TV_5,2.0,OR,"If you like hallmark made-for-tv movies, then this is for you. If you hate hallmark with a run-like-a-zombie passion, avoid this. This is a film about the emotional aspect of having to outlived the dead by somekind of plague. VERY EMOTIONAL but not a tear jerker. Just average."
Tools_and_Home_Improvement_5,5.0,CG,"This is a well made tool. The quality is good.

The only reason I'm giving it 4 stars is because I am using it in the middle of a construction project and it is not well made.

If you are working on a construction project, you should not buy this tool. If you are going to use a tool to make"
Movies_and_TV_5,3.0,CG,"Not very much like the original. The movie is a good one. If you like action movies, you'll like this one. The script and acting is good, the cinematography is nice, and"
Kindle_Store_5,5.0,CG,This book was so refreshingly written. The characters were believable and the plot was well thought out. The story was well-written. The characters were well-developed and the story flowed
Electronics_5,4.0,CG,"Original unit was defective. I had an older model and it was a lot cheaper. I was just going to get one that worked. The instructions were clear, and the instructions were very clear. I was told to use the Bluetooth on the unit. I then had to turn the unit on and off. I could not turn the unit off. I have the unit on for about 30 minutes. I just turned the unit off and the Bluetooth on. It was all a mystery to me. I could not figure out how to turn the unit off. I am not sure how to turn the unit off or not. It is definitely a problem with my unit. I have not tried to turn it off. I have been using it for about 3 years and I can tell you I am very happy with the purchase. I would highly recommend this product.Great for our needs.  We are not on a budget and have not had the opportunity to use it with our cameras.  We bought a $20 Tango and it works great.  We have a Canon G5 and the Tango does not have a wireless adapter.  We will be using this with our D7000 and Canon A7000.  We will update if we need to update.works great.  Works great for a small laptop.  Very convenient and easy to use.  I bought this to protect my iPad, iPad mini and a laptop.  The USB port is not a big deal.  I have tried it with other laptops and laptops but never had any issues.  I have also tried it with a pen and a keyboard.  I don't think it would be a"
Movies_and_TV_5,1.0,CG,If this bomb doesn't put a bomb in the chamber it will ruin the world for the next one
Pet_Supplies_5,3.0,CG,Bought these in size Small and they fit perfectly.  I will keep them for the next couple of months.My dogs love this food.  My dog eats them in a day and they are healthy. 
Sports_and_Outdoors_5,5.0,CG,Very sturdy.  Our last pair broke and the knee pads started to wear out.  We ordered another pair and they are still working great.  The pads are not the same
Kindle_Store_5,3.0,OR,"I didn't have very high expectations for this book. The combination of teen romance and historical fiction made me nervous that I would be cringing the whole way through. Fortunately, the author did her research and the result is a fairly accurate portrayal of life in a convent in Renaissance Italy, with a splash of magical realism. The romance elements don't really kick in until the halfway mark, leaving most of the book to focus on other aspects of the protagonist's life, what romance there is isn't overbearing or unrealistic. A plot twist 3/4 through helps keep things fresh with an unexpected change of setting for the final act. The book is largely well-written, but there are some poor descriptive techniques scattered about (""as cold as January"" was a particularly bland simile that stuck in my mind).

Where the book disappoints is in the drama. Most elements of the plot had me wondering why these characters care even half as much as they apparently do. The protagonist is a 17-year-old illegitimate daughter of a recently-deceased nobleman who's been sent by her step-mother to live in a convent. This is problematic for our hero because the only thing she wants on this world is to find a man to marry. A more charitable reviewer would say that she's realistically very focused given the options for those in her situation, but her one-track-mind struck me as obsessive and overly dramatic. The aforementioned plot twist is fairly transparent (if you're expecting a twist), and the while the MacGuffin around which the twist is centered may be historically accurate in terms of its importance, it seemed fairly trivial to me and fed into the overall feeling of unnecessary drama.

The protagonist's personal conflicts are sure to resonate with many readers, particularly girls around her age and younger. Readers who have an interest in art, particularly painting, might understand the drama better, and will definitely appreciate the author's descriptions of the art and architecture. The ending could be interpreted as slightly preachy, but it doesn't detract from the book."
Home_and_Kitchen_5,5.0,OR,"My interest in this 8"" pan was to satisfy my longing for the perfect over easy egg.
In my quest = I had already purchased Calphalon Unison Slide frying pan and was very pleased with it.
So much so that I gushed about it in a review 2 - 3 yrs back.

Turns out this pan is even better = nicely browns the egg - cooks evenly and quicker.
And because it's completely grease-less non-stick, it only needs wiped out with paper towel.
Has a very adequate and comfortable silicone handle = doesn't get hot.
Stands up to what one would expect at this price point, and it doesn't disappoint.

> This is outstanding construction and indeed 100% non-stick.
The triple bottom is an excellent heat conductor. Cooks well on medium heat.

> About being able to use metal utensils with this pan = I found that a bit contradictory.
While product description says yes, the pamphlet with the pan says = they strongly recommend not to.

> And while it is said to be dishwasher safe, same pamphlet says = yes, but due to hard water and detergent
the non stick coating may lose its effectiveness. So I would interpret that as a no.

> Can be used on all stove tops = gas - electric - vitro ceramic stove top - induction - halogen & in the oven.
Pan does not come with a lid, but any 7 7/8"" (rim inset - to rim inset) lid will fit well.
In our cupboard = a Chantal = Revere Ware - & Calphalon lid fit perfectly.

Made in Italy
(We have some other pans and utensils from Italy of which have turned out to be some of our best & favorite kitchen items)

Manufacture states this is scratch & stain resistant.
10 times more resistant to sticking than normal non stick coatings. (which I believe is true)
18/10 stainless steel
PFOA free
---------------------

No grease.
Within seconds of egg hitting the pan, the thin front edge cooked and rolled upwards.
Egg was quickly nicely browned, which made it easier to flip without breaking.
Took about 30 seconds on top side = over easy = done.
Lifted egg out, pan was clean."
Clothing_Shoes_and_Jewelry_5,5.0,CG,"These are my 5th pair,wear them everyday and they look great. I have a wide foot and a wide foot bed, I am a 32D, and these are great."
Pet_Supplies_5,5.0,OR,I bought this as a second filter for my 40 gallon RES tank... it has made quite a difference! I think it works better than the other brands canister filter!
Toys_and_Games_5,4.0,OR,"It is very cute, and daughter will receive this Valentine's Day.  Just be sure to check what size toy you are ordering.  I was expecting it to be bigger.  Just shows what happens when you look at too many different options - easy to get confused.  Not the product's fault though."
Kindle_Store_5,5.0,OR,"This is the first Elena Matthews book I've read and wow! I don't even know where to start. This was an emotional rollercoaster and one that had me hooked from the start.

I don't want to say to much without spoiling the book but I will say this is a fabulous must read. The characters are well developed and the story flows well. I felt every emotion reading this and my heart hurt. It was beautifully written and deserves the 5 star I have given it."
Kindle_Store_5,5.0,OR,"Wolvers Reward is book 7 of the wolvers series .
This is Rivers story , you are introduced to him in the Alpha's choice book 2 in the series. He touches your heart in that series with all the hardships he had to endure in his childhood.
Wolvers Reward  is his coming of age story and his journey to find himself ....His story once again will touch your heart .
Jacqueline once again excels herself ,I absolutely love this series and this book is no exception.
I have the whole series and what can I say after reading wolvers reward to went back and re read the series again , You would be crazy not to read this book or and of her others , trust me you will thank me."
Pet_Supplies_5,5.0,OR,"This was very easy to apply to our 100 lb dog, and we haven't seen a flea on him since we applied it.  It also doesn't seem to be greasy, and hasn't attracted any dirt.  We don't notice any odor.  All in all, it seems to be working just fine.  I will buy more in the future."
Tools_and_Home_Improvement_5,2.0,CG,"Recently bought a few of these. The only problem is that they are not very bright.  They do not have the dimmable feature.  The light output is not great, but that is not a problem.  The size is good.  I like the way the light comes on and off.  I also like the fact that the light is on by itself.  I will probably just buy more of these.  I am not sure what I will buy more of these.  I have no complaints.I bought this as a replacement for my old version"
Pet_Supplies_5,5.0,OR,If you have a dog that is a stool eater this is a great product.  I have used ot over the years and suggested to friends too.  My first choice to use
Sports_and_Outdoors_5,5.0,OR,I use this every day.  Love it.  Great size.
Books_5,4.0,OR,I always try to guess who or what and never get it right. Great reading.  Always enjoy Patterson.
Sports_and_Outdoors_5,5.0,CG,"I love it, its just what I wanted.  I've also used this for a few years.I bought this for a friend, and he is a big fan.  He has been using it"
Pet_Supplies_5,5.0,OR,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Drinkwell-Platinum-Premium-Filters-12-Pack/dp/B008M40M3G/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Drinkwell Platinum Premium Filters, 12-Pack</a>&nbsp;These filters are a must for the Big Dog Fountain.  The water stays cleaner longer with the use of these.  I add a little distilled white vinegar to the water to keep bacteria growth down.  I have three dogs and two cats sharing this fountain.  To make the filter last longer, I rinse it under running cold water spray once or twice a week, and I clean the fountain once a week as well.  Rinsing the filters easily doubles their life. I've had my BDF for the past eight+ years, and I'm convinced the use of these filters and adding the vinegar, have kept the BDF running without a problem this long.  The 12 pack of filters is cheaper in the long run, and with care, I've been able to stretch their use to two years vice one."
Kindle_Store_5,5.0,CG,I have enjoyed this author's work. The characters are well developed and the story is well told. The story is well-written. The characters are well-
Toys_and_Games_5,3.0,CG,"Stitch is great, but his legs are too long and he has a lot of movement in his arms."
Electronics_5,1.0,OR,"This drive failed on me at a critical moment in the field. I had only owned it for 6 months, and it was not used very intensively. It spent its short life in my laptop satchel and was never dropped or otherwise damaged.

During a photo shoot, I tried to copy data from my full laptop hard drive to the Passport. The drive simply would not work. It was powered on and spinning but the computer could not see it or use it. After trying to get it working, it began making clicking noises and I determined it to be dead.

I'd hate to think that being jostled in my bag was enough to cause this drive to fail. If that's the case, then it has serious durability issues."
